Stigma,With Stigma,Without Stigma,With Stigma - plural,Without Stigma - plural,,,,,Cluster,Visibility,Persistent Course,Disrupt,Unappealing Aesthetics,Controllable Origin,Peril,n,%
Autism Or Autism Spectrum Disorder,with autism,without autism,with autism,without autism,,,,,1 - Awkward,3.68 / 20,5.09 / 17,4.38 / 2,2.41 / 31,.53 / 74,1.51 / 30,13,1.3
Bipolar Disorder Symptomatic,with bipolar disorder,without bipolar disorder,with bipolar disorder,without bipolar disorder,,,,,1 - Awkward,2.60 / 25,4.31 / 40,3.67 / 5,2.23 / 34,1.64 / 55,2.82 / 16,34,3.3
Blind Completely,with complete blindness,without complete blindness,with complete blindness,without complete blindness,,,,,1 - Awkward,4.97 / 6,5.39 / 11,3.39 / 9,1.42 / 53,.29 / 82,.44 / 77,3,0.3
Cleft Lip And Palate Current,with a cleft lip and palate currently,without a cleft lip and palate currently,with a cleft lip and palate currently,without a cleft lip and palate currently,,,,,1 - Awkward,5.29 / 4,4.21 / 41,2.46 / 20,3.46 / 11,.43 / 75,.29 / 88,3,0.3
Deaf Completely,with complete deafness,without complete deafness,with complete deafness,without complete deafness,,,,,1 - Awkward,4.67 / 9,5.30 / 12,4.05 / 4,1.35 / 55,.38 / 78,.41 / 79,4,0.4
Facial Scars,with facial scars,without facial scars,with facial scars,without facial scars,,,,,1 - Awkward,4.12 / 16,4.48 / 35,1.85 / 35,2.79 / 23,1.20 / 63,.49 / 71,106,10.3
Mental Retardation,with mental retardation,without mental retardation,with mental retardation,without mental retardation,,,,,1 - Awkward,4.18 / 15,5.56 / 6,4.35 / 3,2.85 / 21,.22 / 85,.90 / 44,1,0.1
Movement/Gait Impairment Current Avg. Sev.,with movement or gait impairment,without movement or gait impairment,with movement or gait impairment,without movement or gait impairment,,,,,1 - Awkward,4.12 / 17,3.94 / 45,2.03 / 32,1.58 / 49,.77 / 67,.59 / 65,56,5.5
Schizophrenia Symptomatic,with schizophrenia,without schizophrenia,with schizophrenia,without schizophrenia,,,,,1 - Awkward,3.53 / 21,4.81 / 28,4.39 / 1,3.20 / 16,1.25 / 61,3.83 / 6,3,0.3
Short,who is short,who is not short,who are short,who are not short,,,,,1 - Awkward,5.65 / 2,5.68 / 2,2.26 / 22,2.64 / 27,.10 / 93,.22 / 90,20,2
Speech Disability,who has a speech disability,who does not have a speech disability,who have a speech disability,who do not have a speech disability,,,,,1 - Awkward,4.36 / 13,3.91 / 46,3.63 / 6,2.04 / 37,.97 / 65,.32 / 86,27,2.6
Stroke Recent Avg. Impairment,who recently had a stroke,who did not recently have a stroke,who recently had a stroke,who did not recently have a stroke,,,,,1 - Awkward,3.20 / 22,3.86 / 48,2.72 / 17,1.42 / 54,1.12 / 64,.69 / 53,9,0.9
Unattractive,who is unattractive,who is not unattractive,who are unattractive,who are not unattractive,,,,,1 - Awkward,4.50 / 11,4.91 / 26,2.07 / 29,3.29 / 15,1.24 / 62,.42 / 78,127,12.4
Using A Wheel Chair All The Time,who uses a wheel chair all the time,who does not use a wheel chair all the time,who use a wheel chair all the time,who do not use a wheel chair all the time,,,,,1 - Awkward,5.69 / 1,4.77 / 29,2.52 / 18,1.59 / 48,.61 / 73,.52 / 68,10,1
Alcohol Dependency Current,who has an alcohol dependency currently,who does not have an alcohol dependency currently,who have an alcohol dependency currently,who do not have an alcohol dependency currently,,,,,2 - Threatening,1.79 / 35,3.68 / 53,3.04 / 13,2.84 / 22,4.67 / 25,2.93 / 13,45,4.4
Bacterial STD,who has a bacterial STD,who does not have a bacterial STD,who have a bacterial STD,who do not have a bacterial STD,,,,,2 - Threatening,.28 / 86,2.48 / 91,1.20 / 59,3.95 / 3,4.44 / 31,3.45 / 11,23,2.2
Cocaine Use Recreationally,who uses cocaine recreationally,who does not use cocaine recreationally,who use cocaine recreationally,who do not use cocaine recreationally,,,,,2 - Threatening,.95 / 52,3.19 / 73,2.25 / 23,2.72 / 26,5.47 / 10,2.86 / 14,81,7.9
Criminal Record,who has a criminal record,who does not have a criminal record,who have a criminal record,who do not have a criminal record,,,,,2 - Threatening,.35 / 83,5.11 / 16,2.18 / 25,2.93 / 19,5.17 / 17,3.92 / 4,68,6.6
Crystal Meth. Use Recreationally,who uses crystal meth recreationally,who does not use crystal meth recreationally,who use crystal meth recreationally,who do not use crystal meth recreationally,,,,,2 - Threatening,1.47 / 41,3.58 / 56,2.76 / 16,3.55 / 10,5.42 / 11,3.52 / 10,23,2.2
Drug Dealing,who has dealt drugs,who has not dealt drugs,who have dealt drugs,who have not dealt drugs,,,,,2 - Threatening,.77 / 61,3.51 / 59,2.97 / 14,3.71 / 7,5.55 / 6,4.21 / 3,27,2.6
Drug Dependency Current,who has a drug dependency currently,who does not have a drug dependency currently,who have a drug dependency currently,who do not have a drug dependency currently,,,,,2 - Threatening,2.05 / 29,3.85 / 49,3.46 / 8,3.41 / 13,4.79 / 23,3.66 / 9,28,2.7
Gang Member Currently,who is a gang member currently,who is not a gang member currently,who are gang members currently,who are not gang members currently,,,,,2 - Threatening,1.25 / 44,3.96 / 44,3.31 / 10,3.65 / 9,5.56 / 4,5.08 / 1,0,0
Genital Herpes,who has genital herpes,who does not have genital herpes,who have genital herpes,who do not have genital herpes,,,,,2 - Threatening,.22 / 88,4.11 / 42,1.07 / 68,3.80 / 5,4.22 / 35,3.26 / 12,17,1.7
HIV Avg. Symptoms,who has HIV symptoms,who does not have HIV symptoms,who have HIV symptoms,who do not have HIV symptoms,,,,,2 - Threatening,.69 / 64,5.05 / 19,1.78 / 37,4.01 / 2,4.13 / 36,3.88 / 5,1,0.1
Homeless,who is homeless,who is not homeless,who are homeless,who are not homeless,,,,,2 - Threatening,2.04 / 30,3.20 / 72,2.88 / 15,3.34 / 14,3.90 / 40,2.83 / 15,58,5.7
Injection Drug Use,who uses injection drugs,who does not use injection drugs,who use injection drugs,who do not use injection drugs,,,,,2 - Threatening,1.57 / 39,3.72 / 52,3.06 / 12,3.94 / 4,5.34 / 12,3.69 / 8,11,1.1
On Parole Currently,who is currently on parole,who is not currently on parole,who are currently on parole,who are not currently on parole,,,,,2 - Threatening,.48 / 72,3.04 / 83,2.41 / 21,2.95 / 18,5.02 / 19,3.80 / 7,10,1
Sex Offender,who is a sex offender,who is not a sex offender,who are sex offenders,who are not sex offenders,,,,,2 - Threatening,.37 / 79,5.29 / 13,3.58 / 7,5.31 / 1,5.50 / 8,4.70 / 2,2,0.2
Asian American,who is Asian American,who is not Asian American,who are Asian American,who are not Asian American,,,,,3 - Sociodemographic,4.56 / 10,5.46 / 10,.78 / 77,.38 / 91,.15 / 92,.25 / 89,87,8.5
Black/African American,who is Black or African American,who is not Black or African American,who are Black or African American,who are not Black or African American,,,,,3 - Sociodemographic,5.24 / 5,5.66 / 3,1.62 / 41,.93 / 72,.21 / 86,2.06 / 23,63,6.1
Latina/Latino,who is Latina or Latino,who is not Latina or Latino,who are Latina or Latino,who are not Latina or Latino,,,,,3 - Sociodemographic,3.79 / 18,5.63 / 4,1.21 / 58,.58 / 84,.18 / 89,1.30 / 33,76,7.4
Middle Eastern,who is Middle Eastern,who is not Middle Eastern,who are Middle Eastern,who are not Middle Eastern,,,,,3 - Sociodemographic,4.20 / 14,5.59 / 5,1.80 / 36,1.09 / 66,.19 / 87,2.11 / 22,14,1.4
Multiracial,who is multiracial,who is not multiracial,who are multiracial,who are not multiracial,,,,,3 - Sociodemographic,3.08 / 23,5.55 / 7,1.01 / 71,.57 / 85,.18 / 90,.79 / 48,44,4.3
Native American,who is Native American,who is not Native American,who are Native American,who are not Native American,,,,,3 - Sociodemographic,3.75 / 19,5.51 / 9,1.12 / 64,.49 / 89,.18 / 88,.67 / 57,19,1.9
Old Age,who is of old age,who is not of old age,who are of old age,who are not of old age,,,,,3 - Sociodemographic,4.75 / 7,5.77 / 1,1.74 / 38,2.09 / 35,.28 / 84,.51 / 70,99,9.7
South Asian,who is South Asian,who is not South Asian,who are South Asian,who are not South Asian,,,,,3 - Sociodemographic,4.73 / 8,5.53 / 8,1.09 / 66,.50 / 87,.17 / 91,.64 / 60,39,3.8
Asexual,who is asexual,who is not asexual,who are asexual,who are not asexual,,,,,4 - Innocuous Persistent,.44 / 75,4.36 / 38,.81 / 76,.88 / 73,2.34 / 49,.45 / 76,19,1.9
Atheist,who is Atheist,who is not Atheist,who are Atheist,who are not Atheist,,,,,4 - Innocuous Persistent,.16 / 92,4.58 / 32,.88 / 74,1.23 / 64,5.48 / 9,.83 / 45,276,26.9
Bipolar Disorder Remitted,who has remitted bipolar disorder,who does not have remitted bipolar disorder,who have remitted bipolar disorder,who do not have remitted bipolar disorder,,,,,4 - Innocuous Persistent,.60 / 67,3.51 / 60,1.45 / 48,1.19 / 65,1.60 / 57,1.75 / 24,22,2.1
Breast Cancer Current Avg. Symptoms,who has breast cancer currently,who does not have breast cancer currently,who have breast cancer currently,who do not have breast cancer currently,,,,,4 - Innocuous Persistent,1.06 / 50,3.05 / 82,1.08 / 67,.98 / 68,.28 / 83,.69 / 55,1,0.1
Breast Cancer Remitted,who has remitted breast cancer,who does not have remitted breast cancer,who have remitted breast cancer,who do not have remitted breast cancer,,,,,4 - Innocuous Persistent,.29 / 85,2.72 / 89,.40 / 91,.49 / 88,.35 / 80,.48 / 74,6,0.6
Chest Scars,who has chest scars,who does not have chest scars,who have chest scars,who do not have chest scars,,,,,4 - Innocuous Persistent,.37 / 80,4.57 / 33,.48 / 87,1.84 / 41,1.65 / 54,.39 / 82,25,2.4
